timestamp,event_type,event_id,message,parser
2023-12-26T00:37:54.858257+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\S-1-5-21-2701124392-30314147-1419915659-1000-MergedResources-*.pri'  ,winevtx
2023-12-26T00:37:54.858386+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\Resources.????????.pri'  'No shared merged files found'] Computer Nam,winevtx
2023-12-26T00:37:54.858386+00:00,SystemEvent,,[5507 / 0x1583] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  'C:\\Program Files\\WindowsApps\\Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe\\microsoft.system.package.metadata\\Resources.????????.pri'  'No shared merged files found'] Computer Nam,winevtx
2023-12-26T00:37:55.794430+00:00,SystemEvent,,[813 / 0x032d] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 8895 Event Level: 5,winevtx
2023-12-26T00:37:55.794430+00:00,SystemEvent,,[813 / 0x032d] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'] Computer Name: WinDev2311Eval Record Number: 8895 Event Level: 5,winevtx
2023-12-26T00:37:56.299824+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1834 Event Level: 5,winevtx
2023-12-26T00:37:56.299824+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1834 Event Level: 5,winevtx
2023-12-26T00:37:56.439175+00:00,SystemEvent,,[10001 / 0x2711] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8896 Event Level: 5,winevtx
2023-12-26T00:37:56.439175+00:00,SystemEvent,,[10001 / 0x2711] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8896 Event Level: 5,winevtx
2023-12-26T00:37:56.439560+00:00,SystemEvent,,[10001 / 0x2711] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8897 Event Level: 5,winevtx
2023-12-26T00:37:56.439560+00:00,SystemEvent,,[10001 / 0x2711] Provider identifier: {3f471139-acb7-4a01-b7a7-ff5da4ba2d43} Source Name: Microsoft-Windows-AppXDeployment-Server Strings: ['Microsoft.VP9VideoExtensions_1.0.50901.0_x64__8wekyb3d8bbwe'  '0x00000000'] Computer Name: WinDev2311Eval Record Number: 8897 Event Level: 5,winevtx
2023-12-26T00:37:56.493851+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1835 Event Level: 5,winevtx
2023-12-26T00:37:56.493851+00:00,SystemEvent,,[271 / 0x010f] Provider identifier: {89592015-d996-4636-8f61-066b5d4dd739} Source Name: Microsoft-Windows-StateRepository Strings: ['0x00000000'] Computer Name: WinDev2311Eval Record Number: 1835 Event Level: 5,winevtx
